,0
index,int64
application_number,object
patent_title,object
abstract,object
applicant,object
publication_number,object
publication_date,object
application_date,object
patent_type,object
publication_authority,object
link_incopat,object
title_translation,object
title_other_language,object
abstract_translation,object
abstract_other_language,object
claim_first,object
claim_number,float64
patent_page,float64
claim_count_first,float64
technical_effect_sentence,object
technical_effect_phrase,object
technical_effect_1,object
technical_effect_2,object
technical_effect_3,object
technical_effect_triz,object
ipc_main,object
ipc,object
locarno_classification,object
ec,object
cpc,object
uc,object
fi,object
f_term,object
national_economy_industry_classification,object
emerging_industry_classification,object
applicant_translation,object
applicant_original,object
applicant_normalized,object
current_patentee_normalized,object
current_patentee,object
applicant_first,object
applicant_number,float64
applicant_type,object
applicant_country_code,object
applicant_address,object
applicant_address_other,object
applicant_province_code,object
applicant_city,object
applicant_county,object
business_dba,object
business_english_name,object
business_address,object
business_company_type,object
business_company_establishment_time,object
business_uniform_social_credit_code,object
business_company_register_number,object
business_company_list_code,object
business_company_status,object
inventor,object
inventor_other_language,object
inventor_first,object
inventor_number,float64
inventor_country,object
inventor_address,object
inventor_address_other_language,object
agency,object
attorney,object
examiner,object
citation,object
citation_forward,object
citation_family,object
citation_family_forward,object
citation_applicant,object
citation_forward_applicant,object
citation_family_applicant,object
citation_family_forward_applicant,object
citation_times,float64
citation_forward_times,float64
citation_family_times,float64
citation_family_forward_times,float64
citation_non_patent,object
citation_forward_authority,object
citation_origin_code,object
family_main,object
family_complete,object
family_docdb,object
family_main_id,object
family_complete_id,object
family_docdb_id,object
family_main_number,int64
family_complete_number,int64
family_docdb_number,int64
family_country,object
priority,object
priority_number,object
priority_date,object
priority_date_earliest,object
priority_authority,object
pct_application_number,object
pct_publication_number,object
pct_entering_national_phase,object
application_parent,object
application_divisional,object
application_dual,object
patent_status,object
legal_status_current,object
legal_status,object
legal_documents_date,object
legal_instrument_number,object
applicant_reexamination,object
applicant_invalidation,object
reexamination_decision,object
reexamination_invalidation_decision_date,object
reexamination_invalidation_legal_basis,object
assign_times,float64
assignment_execution_date,object
assignor,object
assignee,object
assignee_normalized,object
license_times,float64
license_filing_date,object
licensor,object
licensee,object
licensee_current,object
license_type,object
pledge_times,float64
pledge_term,float64
pledgor,object
pledgee,object
pledgee_current,object
litigation_times,float64
plaintiff,object
defendant,object
litigation_type,object
legal_court,object
customs_record,float64
reexamination_decision_date,object
invalidation_decision_date,object
oral_hearing_date,object
legal_event,object
reexamination_request_date,object
publication_date_first,object
grant_date,object
examination_substantive_date,object
examination_substantive_duration,float64
examination_duration,float64
expiry_date,object
patent_life,float64
standard_type,object
standard_project,object
standard_number,object
patent_value,int64
technical_stability,int64
technical_advanced,int64
protection_scope,int64
publication_kind,object
insert_time,object
update_time,object
